schema_version,status,error,video_key,flicker_score,severity_band,route,confidence,worst_segment_start,worst_segment_end,illuminant_score,rolling_band_score,awb_score,horizontal_coherence,valid_fraction,processing_time_seconds,detector_version,completed_at
1.1,ok,,raw/2026-05-16/mirana_test/mirana_GoPro_IMU_SD29_GX010001/mirana_GoPro_IMU_SD29_GX010001.mp4,0.21559995412826538,none,accept,0.6175826696249156,10.7137,13.7137,0.3251122588640389,0.08115451250770024,0.38744512448358975,0.24401688747213282,0.7484895833333334,42.04791286098771,0.2.0,
1.1,ok,,raw/2026-05-16/mirana_test/mirana_GoPro_IMU_SD21_GX050003/mirana_GoPro_IMU_SD21_GX050003.mp4,0.3036050796508789,none,accept,0.13403802389626981,32.60223333333333,35.60223333333333,0.39695532826199437,0.16595755468461668,0.5076985726302881,0.3856870140011854,0.7498784722222223,64.89535788504872,0.2.0,
1.1,ok,,raw/2026-05-16/mirana_test/mirana_GoPro_IMU_SD21_GX070013/mirana_GoPro_IMU_SD21_GX070013.mp4,0.18168479204177856,none,accept,0.8039297140561619,40.0,43.0,0.33034630433434553,0.025336497439542676,0.3495632866906281,0.1285019014176008,0.7486284722222222,91.07348342391197,0.2.0,
1.1,ok,,raw/2026-05-16/mirana_test/mirana_GoPro_IMU_SD21_GX050002/mirana_GoPro_IMU_SD21_GX050002.mp4,0.35226255655288696,mild,review,0.13331075029058764,58.3613,61.3613,0.34020187084081616,0.32627526648523136,0.43532184663804047,0.5919817488453707,0.75,94.03796781599522,0.2.0,
1.1,ok,,raw/2026-05-08/project-test/6fff9233-e3c5-433e-83be-ee22084dc67b/20260403_145703A.mp4,0.3819766342639923,mild,review,0.2965749135384192,80.0,83.0,0.3757305338292316,0.38135547533009795,0.3928986224110598,0.6751447731598753,0.75,149.27465315698646,0.2.0,
1.1,ok,,raw/2026-05-16/mirana_test/mirana_GoPro_IMU_SD21_GX040004/mirana_GoPro_IMU_SD21_GX040004.mp4,0.21373942494392395,none,accept,0.6278053574509674,113.6165,116.6165,0.3139927465511754,0.09008572522149431,0.3724936831443705,0.22911557058242968,0.7486805555555556,165.844170589,0.2.0,
1.1,ok,,raw/2026-05-16/mirana_test/mirana_GoPro_IMU_SD29_GX010008/mirana_GoPro_IMU_SD29_GX010008.mp4,0.5250949263572693,extreme,reject,0.08293915580917186,220.0,223.0,0.2726564526596519,0.7626171484975799,0.30994720785622604,0.9653357871217397,0.6753472222222222,456.79959007003345,0.2.0,
1.1,ok,,raw/2026-05-16/mirana_test/mirana_GoPro_IMU_SD29_GX050002/mirana_GoPro_IMU_SD29_GX050002.mp4,0.30348849296569824,none,accept,0.13467861007858117,200.0,203.0,0.17983606188871712,0.4025431479059554,0.24133051933992597,0.8607754102188755,0.7482986111111111,459.77059550292324,0.2.0,
1.1,ok,,raw/2026-05-16/mirana_test/mirana_GoPro_IMU_SD29_GX030005/mirana_GoPro_IMU_SD29_GX030005.mp4,0.46216875314712524,mild,review,0.26280904864216903,280.0,283.0,0.1807860212592067,0.7467942482665765,0.17267910590298358,0.9770685899582845,0.7483854166666667,594.8454687659396,0.2.0,
1.1,ok,,raw/2026-05-16/mirana_test/mirana_GoPro_IMU_SD29_GX050009/mirana_GoPro_IMU_SD29_GX050009.mp4,0.5022274851799011,mild,review,0.042706125385158715,480.0,483.0,0.24955507016537792,0.7458191813418663,0.2722569567805795,0.9568982765429309,0.7488888888888889,595.3152422289131,0.2.0,
1.1,ok,,raw/2026-05-16/mirana_test/mirana_GoPro_IMU_SD29_GX010009/mirana_GoPro_IMU_SD29_GX010009.mp4,0.5287216901779175,extreme,reject,0.1028664295489971,0.0,3.0,0.36028547284144313,0.6914766379981637,0.3744887401096391,0.9615443497456915,0.74859375,597.9415777870454,0.2.0,
1.1,ok,,raw/2026-05-16/mirana_test/mirana_GoPro_IMU_SD29_GX030009/mirana_GoPro_IMU_SD29_GX030009.mp4,0.518038272857666,extreme,reject,0.04416633438278026,280.0,283.0,0.3188532308296862,0.7401811419970786,0.26145878997186245,0.9648988044585559,0.7490625,598.9211669429205,0.2.0,
1.1,ok,,raw/2026-05-16/mirana_test/mirana_GoPro_IMU_SD29_GX020009/mirana_GoPro_IMU_SD29_GX020009.mp4,0.5472052693367004,extreme,reject,0.2044245567950573,460.0,463.0,0.4081657301743957,0.7472298094205204,0.2557031438246936,0.9561114280198498,0.74859375,601.0727929959539,0.2.0,
1.1,ok,,raw/2026-05-16/mirana_test/mirana_GoPro_IMU_SD29_GX010007/mirana_GoPro_IMU_SD29_GX010007.mp4,0.47869330644607544,mild,review,0.1720147997468383,80.0,83.0,0.21545383664238774,0.7539265249950886,0.18546950525686348,0.9789528499820017,0.7483854166666667,605.5765970030334,0.2.0,
1.1,ok,,raw/2026-05-16/mirana_test/mirana_GoPro_IMU_SD29_GX030007/mirana_GoPro_IMU_SD29_GX030007.mp4,0.4762076139450073,mild,review,0.18567245085160816,60.0,63.0,0.24842484836730883,0.6835611248470985,0.2994980377108913,0.9705054338187548,0.7487326388888889,607.5984171419404,0.2.0,
1.1,ok,,raw/2026-05-16/mirana_test/mirana_GoPro_IMU_SD29_GX020005/mirana_GoPro_IMU_SD29_GX020005.mp4,0.46971434354782104,mild,review,0.22134976072625806,400.0,403.0,0.2422786816934888,0.6994354754407114,0.23656500181255843,0.9711354910082797,0.7481423611111111,608.5232999339933,0.2.0,
1.1,ok,,raw/2026-05-16/mirana_test/mirana_GoPro_IMU_SD29_GX040009/mirana_GoPro_IMU_SD29_GX040009.mp4,0.47114327549934387,mild,review,0.21349848626734141,220.0,223.0,0.2763818757797557,0.6668588379239382,0.27399647201756094,0.871781209887415,0.7483159722222222,610.8001812850125,0.2.0,
1.1,ok,,raw/2026-05-16/mirana_test/mirana_GoPro_IMU_SD29_GX040005/mirana_GoPro_IMU_SD29_GX040005.mp4,0.48187124729156494,mild,review,0.15455358631008279,280.0,283.0,0.27734985555619723,0.6838686164415931,0.28365987330855874,0.9446889286236863,0.7488194444444445,610.8042701010127,0.2.0,
1.1,ok,,raw/2026-05-16/mirana_test/mirana_GoPro_IMU_SD29_GX020007/mirana_GoPro_IMU_SD29_GX020007.mp4,0.46166425943374634,mild,review,0.26558099212227293,220.0,223.0,0.23769089347794045,0.6777089157165731,0.25751267312937204,0.9526417190979467,0.7484201388888889,611.8794024969684,0.2.0,
1.1,ok,,raw/2026-05-16/mirana_test/mirana_GoPro_IMU_SD29_GX050005/mirana_GoPro_IMU_SD29_GX050005.mp4,0.46242454648017883,mild,review,0.2614035907682482,518.521,521.521,0.19619515956755268,0.7423552562578816,0.161941788065581,0.9796130021717643,0.7484548611111111,612.9891449329443,0.2.0,
1.1,ok,,raw/2026-05-16/mirana_test/mirana_GoPro_IMU_SD29_GX040002/mirana_GoPro_IMU_SD29_GX040002.mp4,0.2965746223926544,none,accept,0.17266690993047032,400.0,403.0,0.28757177415215107,0.3063671288762228,0.28559766884327176,0.7365202290039505,0.74828125,614.5810275560943,0.2.0,
1.1,ok,,raw/2026-05-16/mirana_test/mirana_GoPro_IMU_SD29_GX050007/mirana_GoPro_IMU_SD29_GX050007.mp4,0.4384593665599823,mild,review,0.39308040351658086,20.0,23.0,0.1710610980061517,0.6951467133271958,0.19783836128932794,0.9397363914633742,0.7483680555555555,615.2100055980263,0.2.0,
1.1,ok,,raw/2026-05-16/mirana_test/mirana_GoPro_IMU_SD29_GX040007/mirana_GoPro_IMU_SD29_GX040007.mp4,0.4818825125694275,mild,review,0.15449168917896988,160.0,163.0,0.23575962181126178,0.7142592851136644,0.2701249410539013,0.9777629522906176,0.7484375,616.2169321989641,0.2.0,
